dateissue,Value
13990215,979105.3
13990214,956199.9
13990213,917406.1
13990210,878101.2
13990209,845952.4
13990208,820505.4
13990207,797813.4
13990206,769372.7
13990203,741932
13990202,726136.7
13990201,708994.7
13990131,690037
13990130,668905.5
13990127,645762.5
13990126,626408.7
13990125,624528.5
13990124,623259.8
13990123,607855.9
13990120,597253.9
13990119,583383
13990118,569673.7
13990117,573904
13990116,567425.6
13990111,547658.5
13990110,545649.4
13990109,532525.3
13990106,521267.7
13990105,508661.5
13981228,512900.5
13981227,502429.7
13981226,506079.8
13981225,494405.7
13981224,502739.2
13981221,520211.8
13981220,519847.3
13981219,534378.4
13981217,549185.1
13981214,555167.7
13981213,544237.7
13981212,529329
13981211,515583.4
13981210,505801
13981207,523851
13981206,518512.8
13981205,503735.8
13981204,498904.5
13981203,481798
13981130,478755.7
13981129,472120.4
13981128,476812.7
13981127,472749.9
13981126,461988.4
13981123,459079.6
13981121,447151.9
13981120,454618.5
13981119,452842.3
13981116,445894.1
13981115,440199.1
13981114,438880.2
13981113,428217
13981112,426184.9
13981108,427139.4
13981107,420668
13981106,418312.5
13981105,417001.9
13981102,411211.5
13981101,406008.9
13981030,409807.8
13981029,410694.5
13981028,409962.5
13981025,399445.3
13981024,395912.6
13981023,392038.4
13981022,375650.2
13981021,359807.4
13981018,353807.7
13981017,358843.2
13981015,365815.5
13981014,367334.2
13981011,384099.6
13981010,377012.6
13981009,375547.7
13981008,369729.9
13981007,367632.1
13981004,361088.4
13981003,362259.3
13981002,359365.5
13981001,356721.1
13980930,353996.7
13980927,350322.6
13980926,346870.7
13980925,344487.6
13980924,344115.1
13980923,343291.8
13980920,339386.6
13980919,339434.4
13980918,335792
13980917,332567.2
13980916,327624.8
13980913,322527.9
13980912,320814.4
13980911,320194.8
13980910,318670.5
13980909,314587.9
13980906,311230.1
13980905,309643.3
13980904,308477.2
13980903,305774
13980902,305622.5
13980829,304997
13980828,304688.5
13980827,302726.3
13980826,302340.6
13980825,306885.8
13980822,307094.1
13980821,306655.3
13980820,303944.1
13980819,302795.1
13980818,305858.9
13980814,305333.2
13980813,304676.5
13980812,308960.9
13980811,308730.2
13980808,309661.3
13980806,305969.9
13980804,303449.8
13980801,305807.6
13980730,308314.9
13980729,302173.1
13980728,301391.1
13980724,309640.3
13980723,308978.9
13980722,319871.6
13980721,326190.8
13980720,322059.8
13980717,313049.1
13980716,314469.8
13980715,320909.7
13980714,320208.4
13980713,327305.8
13980710,326117.2
13980709,326098.1
13980708,324705.9
13980707,318250.6
13980706,320023.9
13980703,314409.2
13980702,312206.5
13980701,311471.4
13980631,302103.6
13980630,297712.6
13980627,294166.6
13980626,302082.1
13980625,305917.2
13980624,302395.7
13980623,304460.1
13980620,299930.7
13980617,296731.8
13980616,294601.6
13980613,290178.5
13980612,285573.6
13980611,283062.7
13980610,286114.8
13980609,284139.2
13980606,278674.9
13980605,278469.9
13980604,274871.8
13980603,269225.3
13980602,269986.1
13980530,266127.2
13980528,262941
13980527,260992
13980526,261405.8
13980523,261391.5
13980522,257097.2
13980520,255876.2
13980519,255306.4
13980516,255163.3
13980515,255512
13980514,256698.2
13980513,255530.2
13980512,254453.9
13980509,254445.7
13980508,252898.1
13980507,252488.3
13980506,252324.7
13980505,252275.4
13980502,252864.6
13980501,251278.3
13980431,253056.8
13980430,249661.6
13980429,246437.4
13980426,246790.4
13980425,246268.1
13980424,253303.3
13980423,253577.8
13980422,250605
13980419,249622.1
13980418,248716.1
13980417,249252.6
13980416,246447.5
13980415,245445.6
13980412,248944
13980411,248275.9
13980410,247122.5
13980409,248533
13980405,248577.8
13980404,245098.7
13980403,242568.1
13980402,237459.9
13980401,233886.1
13980329,234879.4
13980328,237148.2
13980327,238160.7
13980326,238220.2
13980325,234167.7
13980322,233352.8
13980321,230617.5
13980320,230267.7
13980319,229808.8
13980318,226888.2
13980313,226983.4
13980312,224544.4
13980311,222387.8
13980308,224476.8
13980307,223253.8
13980305,217573.9
13980304,214314.2
13980301,215168.6
13980231,215091.6
13980230,211871.7
13980229,212851.5
13980228,212747.7
13980225,211017.8
13980224,211746.4
13980223,207751.7
13980222,204069.3
13980221,209154.9
13980218,211344.1
13980217,208197.1
13980216,215820.6
13980215,224057.3
13980214,224589.6
13980211,220109
13980210,216642
13980209,214867.6
13980208,209243.9
13980207,205287.4
13980204,203776.9
13980203,202857.5
13980202,204322
13980131,204375.3
13980128,199911.3
13980127,201890.8
13980126,201805.8
13980125,196084.1
13980124,195202.7
13980121,193978.3
13980120,190425.1
13980119,188592.8
13980118,188073.8
13980117,186535.5
13980111,185281.1
13980110,185358
13980107,181542.4
13980106,179766.4
13980105,179194.3
13971228,178659.1
13971227,175898.8
13971226,172522.5
13971225,171124.9
13971222,169115.5
13971221,167909.7
13971220,167371.5
13971219,164470.4
13971218,163007.3
13971215,162827.3
13971214,162593.6
13971213,164238.6
13971212,164442.7
13971211,164370.3
13971208,165295.1
13971207,164712.2
13971206,166793.6
13971205,166030.3
13971204,164267.8
13971201,159489.5
13971130,157387.5
13971129,156705.1
13971128,156155
13971127,157113.6
13971124,157310.8
13971123,157973.3
13971121,158468.2
13971117,158535.5
13971116,158394.2
13971115,158043.9
13971114,157355.2
13971113,159855.4
13971110,160294.9
13971109,160153
13971108,159818.2
13971107,160798
13971106,162477.5
13971103,162940.9
13971102,162805.7
13971101,161922.2
13971030,165575.1
13971029,166131.1
13971026,165595
13971025,165445.5
13971024,164696.4
13971023,164493.8
13971022,164929.9
13971019,164829.4
13971018,163967.2
13971017,162323.6
13971016,161275.8
13971015,161107.4
13971012,160898.9
13971011,161840.8
13971010,161405.3
13971009,161309.8
13971008,160774
13971005,158443.7
13971004,156950.3
13971003,157484
13971002,156693.8
13971001,154550.5
13970928,156083.2
13970927,159146.4
13970926,159749.9
13970925,161708.1
13970924,164485.9
13970921,165352.1
13970920,166235
13970919,166915.9
13970918,166891.2
13970917,167083.2
13970914,166860.1
13970913,165701.7
13970912,166304.4
13970911,163138.5
13970910,159853.8
13970907,163772.1
13970906,167199.8
